Mobile,Colour,Ram,Storage,Amazon_Price,Flipkart_Price,Price_Difference
OPPO A74 5G,FANTASTIC PURPLE,6GB,128GB,15990,18669,2679
OPPO A74 5G,FANTASTIC PURPLE,6GB,128GB,15990,17990,2000
OPPO A31,FANTASY WHITE,6GB,128GB,11490,13680,2190
OPPO A31,MYSTERY BLACK,6GB,128GB,11490,13648,2158
OPPO A31,MYSTERY BLACK,6GB,128GB,13189,13648,459
OPPO A31,MYSTERY BLACK,4GB,64GB,11490,11683,193
OPPO A31,LAKE GREEN,4GB,64GB,11490,12348,858
OPPO A16,CRYSTAL BLACK,4GB,64GB,13990,13800,190
OPPO A16,CRYSTAL BLACK,4GB,64GB,13990,13990,0
OPPO F17,NAVY BLUE,6GB,128GB,16990,16990,0
OPPO A54,STARRY BLUE,4GB,64GB,14990,14990,0
OPPO RENO6 5G,AURORA,8GB,128GB,29480,29990,510
OPPO F17 PRO,METALLIC WHITE,8GB,128GB,17990,17990,0
OPPO A16,PEARL BLUE,4GB,64GB,13990,13800,190
OPPO A11K,FLOWING SILVER,2GB,32GB,8990,8990,0
OPPO A54,CRYSTAL BLACK,4GB,64GB,14990,14990,0
OPPO A54,MOONLIGHT GOLD,6GB,128GB,16490,16990,500
OPPO F19,SPACE SILVER,6GB,128GB,19990,19990,0
OPPO F17,CLASSIC SILVER,6GB,128GB,16990,16990,0
OPPO A12,DEEP BLUE,4GB,64GB,10350,9490,860
OPPO A54,STARRY BLUE,6GB,128GB,16490,16990,500
OPPO A53S 5G,CRYSTAL BLUE,6GB,128GB,16990,13990,3000
OPPO A15S,DYNAMIC BLACK,4GB,64GB,12990,12990,0
OPPO A15S,DYNAMIC BLACK,4GB,64GB,12400,12990,590
OPPO F19 PRO,FLUID BLACK,8GB,128GB,21950,21990,40
OPPO F19 PRO,CRYSTAL SILVER,8GB,128GB,21990,21990,0
OPPO F19 PRO,CRYSTAL SILVER,8GB,128GB,21947,21990,43
OPPO F19 PRO,FANTASTIC PURPLE,8GB,128GB,21990,21990,0
OPPO A15,DYNAMIC BLACK,2GB,32GB,9490,8990,500
OPPO F19 PRO+ 5G,SPACE SILVER,8GB,128GB,25900,25990,90
OPPO F19 PRO,CRYSTAL SILVER,8GB,256GB,23490,23490,0
OPPO F19 PRO,CRYSTAL SILVER,8GB,256GB,25489,23490,1999
OPPO A54,CRYSTAL BLACK,6GB,128GB,16490,16990,500
OPPO A54,STARRY BLUE,4GB,128GB,15990,15990,0
OPPO A12,FLOWING SILVER,4GB,64GB,10990,9490,1500
OPPO A12,FLOWING SILVER,4GB,64GB,11990,9490,2500
OPPO A1K,BLACK,2GB,32GB,10890,7990,2900
OPPO F19 PRO+ 5G,FLUID BLACK,8GB,128GB,25990,25990,0
OPPO RENO5 PRO 5G,ASTRAL BLUE,8GB,128GB,35990,35990,0
OPPO F11 PRO,AURORA GREEN,6GB,64GB,25999,16890,9109
OPPO RENO5 PRO 5G,STARRY BLACK,8GB,128GB,35990,35990,0
OPPO A5,DIAMOND RED,4GB,64GB,14990,15990,1000
OPPO A53S 5G,CRYSTAL BLUE,8GB,128GB,16990,17990,1000
