Mobile,Colour,Ram,Storage,Amazon_Price,Flipkart_Price,Price_Difference
REALME NARZO 30,RACING BLUE,6GB,128GB,14499,14499,0
REALME NARZO 30 5G,RACING BLUE,6GB,128GB,16999,16999,0
REALME 8I,SPACE PURPLE,6GB,128GB,17340,14999,2341
REALME 5 PRO,CHROMA WHITE,8GB,128GB,15500,16999,1499
REALME C11 2021,COOL BLUE,4GB,64GB,9499,7799,1700
REALME X,SPACE BLUE,4GB,128GB,16250,17999,1749
REALME 8S 5G,UNIVERSE BLUE,8GB,128GB,21530,19999,1531
REALME 8,CYBER SILVER,8GB,128GB,17990,17999,9
REALME 8S 5G,UNIVERSE PURPLE,6GB,128GB,19475,17999,1476
REALME C25S,WATERY GREY,4GB,128GB,11914,11999,85
