Mobile,Colour,Ram,Storage,Amazon_Price,Flipkart_Price,Price_Difference
SAMSUNG GALAXY M12,BLUE,4GB,64GB,9499,11494,1995
SAMSUNG GALAXY M12,BLUE,6GB,128GB,11499,14296,2797
SAMSUNG GALAXY M31,OCEAN BLUE,8GB,128GB,16999,18553,1554
SAMSUNG GALAXY M12,BLACK,4GB,64GB,9499,11185,1686
SAMSUNG GALAXY M51,ELECTRIC BLUE,6GB,128GB,19999,24799,4800
SAMSUNG GALAXY M12,BLACK,6GB,128GB,11499,13866,2367
SAMSUNG GALAXY M12,WHITE,4GB,64GB,9499,11487,1988
SAMSUNG GALAXY M32,BLACK,6GB,128GB,14499,17490,2991
SAMSUNG GALAXY M32,BLACK,4GB,64GB,12499,14599,2100
SAMSUNG GALAXY M12,WHITE,6GB,128GB,11499,14348,2849
SAMSUNG GALAXY M32,LIGHT BLUE,4GB,64GB,12499,14489,1990
SAMSUNG GALAXY A22,MINT,6GB,128GB,18499,18499,0
SAMSUNG GALAXY NOTE 20 ULTRA 5G,MYSTIC BRONZE,12GB,256GB,69999,104999,35000
SAMSUNG GALAXY M51,CELESTIAL BLACK,6GB,128GB,19999,23799,3800
SAMSUNG GALAXY A12,BLUE,6GB,128GB,14970,14989,19
SAMSUNG GALAXY A12,BLUE,6GB,128GB,14970,16499,1529
SAMSUNG GALAXY A12,BLUE,6GB,128GB,14970,15190,220
SAMSUNG GALAXY A12,BLACK,4GB,64GB,12074,13999,1925
SAMSUNG GALAXY A12,BLACK,4GB,64GB,12074,11999,75
SAMSUNG GALAXY A12,BLACK,4GB,64GB,12199,13999,1800
SAMSUNG GALAXY A12,BLACK,4GB,64GB,12199,11999,200
SAMSUNG GALAXY A12,BLUE,4GB,64GB,11942,13999,2057
SAMSUNG GALAXY A12,BLUE,4GB,64GB,11942,11964,22
SAMSUNG GALAXY A12,BLACK,6GB,128GB,15999,16499,500
SAMSUNG GALAXY A12,BLACK,6GB,128GB,15999,15489,510
SAMSUNG GALAXY A03S,BLACK,4GB,64GB,12499,12499,0
SAMSUNG GALAXY NOTE 20,MYSTIC GREEN,8GB,256GB,44990,77999,33009
SAMSUNG GALAXY A03S,BLUE,4GB,64GB,12499,12499,0
SAMSUNG GALAXY A22 5G,GRAY,6GB,128GB,19390,19921,531
