Mobile,Colour,Ram,Storage,Amazon_Price,Flipkart_Price,Price_Difference
VIVO V21 5G,SUNSET DAZZLE,8GB,128GB,29990,29990,0
VIVO V21 5G,DUSK BLUE,8GB,128GB,29990,29990,0
VIVO Y12S,GLACIER BLUE,3GB,32GB,10990,10990,0
VIVO Y20G 2021,PURIST BLUE,4GB,64GB,13990,13990,0
VIVO Y20G 2021,PURIST BLUE,4GB,64GB,14689,13990,699
VIVO Y12S,PHANTOM BLACK,3GB,32GB,10990,10990,0
VIVO Y73,DIAMOND FLARE,8GB,128GB,20990,20990,0
VIVO Y33S,MIRROR BLACK,8GB,128GB,17990,17990,0
VIVO Y1S,AURORA BLUE,3GB,32GB,9490,9490,0
VIVO Y20A 2021,NEBULA BLUE,3GB,64GB,11990,11990,0
VIVO Y20A 2021,NEBULA BLUE,3GB,64GB,12689,11990,699
VIVO Y51A,CRYSTAL SYMPHONY,6GB,128GB,16990,16506,484
VIVO Y21,MIDNIGHT BLUE,4GB,64GB,13990,13990,0
VIVO Y21,DIAMOND GLOW,4GB,128GB,15490,15490,0
VIVO Y20G,OBSIDIANT BLACK,6GB,128GB,15990,16999,1009
VIVO Y21,DIAMOND GLOW,4GB,64GB,13990,13990,0
VIVO V21 5G,ARCTIC WHITE,8GB,128GB,29990,29990,0
VIVO Y21,MIDNIGHT BLUE,4GB,128GB,15490,15490,0
VIVO Y1S,OLIVE BLACK,3GB,32GB,9490,9490,0
VIVO Y1S,OLIVE BLACK,3GB,32GB,15000,9490,5510
VIVO Y1S,OLIVE BLACK,3GB,32GB,10189,9490,699
VIVO Y72 5G,SLATE GRAY,8GB,128GB,20900,20990,90
VIVO Y72 5G,SLATE GRAY,8GB,128GB,21599,20990,609
VIVO Y72 5G,PRISM MAGIC,8GB,128GB,20900,20990,90
VIVO Y72 5G,PRISM MAGIC,8GB,128GB,21599,20990,609
VIVO Y73,ROMAN BLACK,8GB,128GB,20990,20990,0
VIVO Y53S,FANTASTIC RAINBOW,8GB,128GB,19490,19490,0
VIVO Y20A,DAWN WHITE,3GB,64GB,11990,12480,490
VIVO Y20A,DAWN WHITE,3GB,64GB,12689,12480,209
VIVO V21 5G,SUNSET DAZZLE,8GB,256GB,32990,32990,0
VIVO V21 5G,DUSK BLUE,8GB,256GB,32990,32990,0
VIVO Y12G,PHANTOM BLACK,3GB,32GB,10990,10990,0
VIVO X60,MIDNIGHT BLACK,12GB,256GB,39990,39990,0
VIVO Y20,DAWN WHITE,4GB,64GB,13990,12990,1000
VIVO X60,SHIMMER BLUE,12GB,256GB,39990,39990,0
VIVO Y20A,NEBULA BLUE,3GB,64GB,11980,11658,322
VIVO X21,BLACK,6GB,128GB,19297,36990,17693
VIVO Y11,AGATE RED,3GB,32GB,9389,10999,1610
VIVO Y20I,DAWN WHITE,3GB,64GB,11889,12690,801
